"note_label";"note_image";"image_label";"Flute";"fl_alt1";"fl_alt2";"fl_at3"
"C7";"T62";"C7";"flute43";;;
"B7";"T61";"B7";"flute42";;;
"Bb 6";"T60";"A# / Bb 6";"flute29";;;
"A# 6";"T59";"A# / Bb 6";"flute29";;;
"A 6";"T58";"A 6";"flute22";;;
"Ab 6";"T57";"G# / Ab 6";"flute21";;;
"G# 6";"T56";"G# / Ab 6";"flute21";;;
"G 6";"T55";"G 6";"flute20";;;
"Gb 6";"T54";"F# / Gb 6";"flute19";;;
"F# 6";"T53";"F# / Gb 6";"flute19";;;
"F 6";"T52";"F 6";"flute28";;;
"E 6";"T51";"E 6";"flute17";;;
"Eb 6";"T50";"D# / Eb 6";"flute16";;;
"D# 6";"T49";"D# / Eb 6";"flute16";;;
"D 6";"T48";"D 6";"flute15";;;
"Db 6";"T47";"C# / Db 6";"flute41";;;
"C# 6";"T46";"C# / Db 6";"flute41";;;
"C 6";"T45";"C 6";"flute31";;;
"B 5";"T44";"B 5";"flute40";;;
"Bb 5";"T43";"A# / Bb 5";"flute39";;;
"A# 5";"T42";"A# / Bb 5";"flute39";;;
"A 5";"T41";"A 5";"flute38";;;
"Ab 5";"T40";"G# / Ab 5";"flute37";;;
"G# 5";"T39";"G# / Ab 5";"flute37";;;
"G 5";"T38";"G 5";"flute36";;;
"Gb 5";"T37";"F# / Gb 5";"flute30";;;
"F# 5";"T36";"F# / Gb 5";"flute30";;;
"F 5";"T35";"F 5";"flute35";;;
"E 5";"T34";"E 5";"flute34";;;
"Eb 5";"T33";"D# / Eb 5";"flute33";;;
"D# 5";"T32";"D# / Eb 5";"flute33";;;
"D 5";"T31";"D 5";"flute32";;;
"Db 5";"T30";"C# / Db 5";"flute14";;;
"C# 5";"T29";"C# / Db 5";"flute14";;;
"C 5";"T28";"C 5";"flute13";;;
"B 4";"T27";"B 4";"flute12";;;
"Bb 4";"T26";"A# / Bb 4";"flute11";;;
"A# 4";"T25";"A# / Bb 4";"flute11";;;
"A 4";"T24";"A 4";"flute10";;;
"Ab 4";"T23";"G# / Ab 4";"flute9";;;
"G# 4";"T22";"G# / Ab 4";"flute9";;;
"G 4";"T21";"G 4";"flute8";;;
"Gb 4";"T20";"F# / Gb 4";"flute7";;;
"F# 4";"T19";"F# / Gb 4";"flute7";;;
"F 4";"T18";"F 4";"flute6";;;
"E 4";"T17";"E 4";"flute5";;;
"Eb 4";"T16";"D# / Eb 4";"flute4";;;
"D# 4";"T15";"D# / Eb 4";"flute4";;;
"D 4";"T14";"D 4";"flute3";;;
"Db 4";"T13";"C# / Db 4";"flute2";;;
"C# 4";"T12";"C# / Db 4";"flute2";;;
"C 4";"T11";"C 4";"flute1";;;
"B 3";"T10";"B 3";"*";;;
"Bb 3";"T09";"A# / Bb 3";"*";;;
"A# 3";"T08";"A# / Bb 3";"*";;;
"A 3";"T07";"A 3";"*";;;
"Ab 3";"T06";"G# / Ab 3";"*";;;
"G# 3";"T05";"G# / Ab 3";"*";;;
"G";"T04";"G 3";"*";;;
"Gb 3";"T03";"F# / Gb 3";"*";;;
"F#3";"T02";"F# / Gb 3";"*";;;
"F 3";"T01";"F 3";"*";;;
"E 3";"T00";"E 3";"*";;;
